term_original,term_norm,best_domain,top_score,second_score,margin,cluster_id,cluster_confidence,cluster_label
Prozac 20mg,prozac 20mg,treatment_antidepressant_anxiolytic,0.6177387,0.54428005,0.07345867,-1,0.0,noise
Triazolam,triazolam,treatment_antidepressant_anxiolytic,0.7058267,0.6325485,0.07327819,-1,0.0,noise
Duloxetine 60 mg,duloxetine 60 mg,treatment_antidepressant_anxiolytic,0.6206506,0.5481247,0.07252592,-1,0.0,noise
Quetiapine XR,quetiapine xr,treatment_antidepressant_anxiolytic,0.5760467,0.5048357,0.07121098,-1,0.0,noise
Buccal Midazolam,buccal midazolam,treatment_antidepressant_anxiolytic,0.6400416,0.5698236,0.07021797,-1,0.0,noise
pax tranquiliser,pax tranquiliser,treatment_antidepressant_anxiolytic,0.5180421,0.4478593,0.0701828,-1,0.0,noise
sertraline 50mg,sertraline 50mg,treatment_antidepressant_anxiolytic,0.57105845,0.5011985,0.06985998,-1,0.0,noise
anxiety meds,anxiety meds,treatment_antidepressant_anxiolytic,0.56701434,0.49785367,0.06916067,-1,0.0,noise
Clonazepam Night,clonazepam night,treatment_antidepressant_anxiolytic,0.5390892,0.47042918,0.06866002,-1,0.0,noise
extra Xanax ,extra xanax,treatment_antidepressant_anxiolytic,0.58334976,0.51477957,0.0685702,-1,0.0,noise
Rizatriptan,rizatriptan,treatment_antidepressant_anxiolytic,0.6763825,0.60803413,0.06834835,-1,0.0,noise
Medikinet (Ritalin) ,medikinet (ritalin,treatment_antidepressant_anxiolytic,0.61422837,0.5471293,0.067099094,-1,0.0,noise
Xanax Daytime,xanax daytime,treatment_antidepressant_anxiolytic,0.521162,0.45429027,0.0668717,-1,0.0,noise
Prozac,prozac,treatment_antidepressant_anxiolytic,0.73530245,0.670778,0.06452447,-1,0.0,noise
Clozapine,clozapine,treatment_antidepressant_anxiolytic,0.6189842,0.55455875,0.06442547,-1,0.0,noise
clonazapam,clonazapam,treatment_antidepressant_anxiolytic,0.5940603,0.5297957,0.064264596,-1,0.0,noise
clonozapam,clonozapam,treatment_antidepressant_anxiolytic,0.5780446,0.5139251,0.06411952,-1,0.0,noise
Lexam,lexam,treatment_antidepressant_anxiolytic,0.5517861,0.48770937,0.06407675,-1,0.0,noise
mirtazapine half,mirtazapine half,treatment_antidepressant_anxiolytic,0.59035456,0.52629435,0.06406021,-1,0.0,noise
Paroxetine,paroxetine,treatment_antidepressant_anxiolytic,0.67110693,0.60725164,0.06385529,-1,0.0,noise
sertraline 100mg,sertraline 100mg,treatment_antidepressant_anxiolytic,0.56247354,0.49863052,0.06384301,-1,0.0,noise
Duloxetine morning,duloxetine morning,treatment_antidepressant_anxiolytic,0.5570587,0.49351823,0.06354046,-1,0.0,noise
Ritalin,ritalin,treatment_antidepressant_anxiolytic,0.65477526,0.5915214,0.06325388,-1,0.0,noise
sertraline 150 mg,sertraline 150 mg,treatment_antidepressant_anxiolytic,0.54265237,0.4796756,0.06297678,-1,0.0,noise
Duoloxetine,duoloxetine,treatment_antidepressant_anxiolytic,0.6790898,0.61658394,0.06250584,-1,0.0,noise
diazapam,diazapam,treatment_antidepressant_anxiolytic,0.66362965,0.6016852,0.061944425,-1,0.0,noise
Quetiapine Modified Release,quetiapine modified release,treatment_antidepressant_anxiolytic,0.5183337,0.45652178,0.061811894,-1,0.0,noise
levosulpiride,levosulpiride,treatment_antidepressant_anxiolytic,0.561833,0.50012326,0.06170976,-1,0.0,noise
Cymbalta,cymbalta,treatment_antidepressant_anxiolytic,0.6245997,0.56304455,0.061555147,-1,0.0,noise
Benzo,benzo,treatment_antidepressant_anxiolytic,0.62925464,0.567845,0.061409652,-1,0.0,noise
Duloxetine,duloxetine,treatment_antidepressant_anxiolytic,0.59866333,0.5377181,0.060945213,-1,0.0,noise
Medicon 15mg,medicon 15mg,treatment_antidepressant_anxiolytic,0.53992337,0.47955412,0.060369253,-1,0.0,noise
Gui Pi Pills,gui pi pills,treatment_antidepressant_anxiolytic,0.46661878,0.40639383,0.06022495,-1,0.0,noise
Xanax Soir,xanax soir,treatment_antidepressant_anxiolytic,0.58252466,0.5225044,0.060020268,-1,0.0,noise
Depression Meds,depression meds,treatment_antidepressant_anxiolytic,0.55871606,0.49937037,0.059345692,-1,0.0,noise
Effexor XR,effexor xr,treatment_antidepressant_anxiolytic,0.48540708,0.42710936,0.058297724,-1,0.0,noise
Loxapine,loxapine,treatment_antidepressant_anxiolytic,0.59693265,0.5392181,0.057714522,-1,0.0,noise
Clotiazepam,clotiazepam,treatment_antidepressant_anxiolytic,0.59163404,0.5346903,0.056943715,-1,0.0,noise
Pascofemin Tablets,pascofemin tablets,treatment_antidepressant_anxiolytic,0.52523106,0.4688707,0.056360364,-1,0.0,noise
Boniva,boniva,treatment_antidepressant_anxiolytic,0.5760534,0.520222,0.055831373,-1,0.0,noise
Duloxetine evening,duloxetine evening,treatment_antidepressant_anxiolytic,0.5183947,0.46282107,0.055573642,-1,0.0,noise
Levetiracetam,levetiracetam,treatment_antidepressant_anxiolytic,0.64875615,0.59351325,0.055242896,-1,0.0,noise
normal meds,normal meds,treatment_antidepressant_anxiolytic,0.5675561,0.51353043,0.05402565,-1,0.0,noise
Esomeprazole 40 mg,esomeprazole 40 mg,treatment_antidepressant_anxiolytic,0.5537274,0.49976006,0.053967327,-1,0.0,noise
Anxiety medication,anxiety medication,treatment_antidepressant_anxiolytic,0.5954412,0.5416703,0.0537709,-1,0.0,noise
Keppra (Levetiracetsm),keppra (levetiracetsm,treatment_antidepressant_anxiolytic,0.55316967,0.4999161,0.05325356,-1,0.0,noise
lexamil,lexamil,treatment_antidepressant_anxiolytic,0.6470324,0.59383774,0.053194642,-1,0.0,noise
Levocetirizine,levocetirizine,treatment_antidepressant_anxiolytic,0.64504313,0.5920393,0.053003848,-1,0.0,noise
zoloft 25mg,zoloft 25mg,treatment_antidepressant_anxiolytic,0.5701253,0.5172889,0.05283636,-1,0.0,noise
Rupafin 10mg,rupafin 10mg,treatment_antidepressant_anxiolytic,0.56356925,0.510886,0.052683234,-1,0.0,noise
mood suppressor,mood suppressor,treatment_antidepressant_anxiolytic,0.47301945,0.4217229,0.051296562,-1,0.0,noise
Citalopram,citalopram,treatment_antidepressant_anxiolytic,0.55515563,0.50427866,0.050876975,-1,0.0,noise
extorxib,extorxib,treatment_antidepressant_anxiolytic,0.53497875,0.48444754,0.05053121,-1,0.0,noise
valium 20mg ,valium 20mg,treatment_antidepressant_anxiolytic,0.56668216,0.5162124,0.050469756,-1,0.0,noise
sertralline,sertralline,treatment_antidepressant_anxiolytic,0.5303335,0.4801574,0.050176114,-1,0.0,noise
Propranolol,propranolol,treatment_cardiovascular,0.7244884,0.5838234,0.140665,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Propanolol,propanolol,treatment_cardiovascular,0.6518253,0.5481693,0.103655994,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
propranalol,propranalol,treatment_cardiovascular,0.58490247,0.48421237,0.1006901,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
propranolol 120mg,propranolol 120mg,treatment_cardiovascular,0.6147249,0.51939684,0.09532803,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Atorvastatin,atorvastatin,treatment_cardiovascular,0.5957022,0.5014914,0.094210744,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Propranolol ER,propranolol er,treatment_cardiovascular,0.6299499,0.53783107,0.09211886,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
propranolol 40mg,propranolol 40mg,treatment_cardiovascular,0.61400425,0.5224574,0.09154683,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Atoravastatin,atoravastatin,treatment_cardiovascular,0.61083925,0.52082986,0.09000939,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Propranolol ER PM,propranolol er pm,treatment_cardiovascular,0.57602084,0.4895836,0.086437225,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Amlodipine besylate,amlodipine besylate,treatment_cardiovascular,0.49363238,0.4079304,0.08570197,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
propanol,propanol,treatment_cardiovascular,0.62994576,0.5451904,0.08475536,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
proponolol,proponolol,treatment_cardiovascular,0.5937496,0.5147106,0.07903898,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Propranolol ER AM,propranolol er am,treatment_cardiovascular,0.59916055,0.5207579,0.07840264,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Atenolol,atenolol,treatment_cardiovascular,0.61294544,0.5352377,0.07770771,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Carvedilol,carvedilol,treatment_cardiovascular,0.5714088,0.4986491,0.07275972,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Hydrochlorothiazide,hydrochlorothiazide,treatment_cardiovascular,0.5970608,0.5287897,0.0682711,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Verapamil,verapamil,treatment_cardiovascular,0.58744144,0.51949596,0.06794548,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Dilantin,dilantin,treatment_cardiovascular,0.62918246,0.5615431,0.06763935,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Propanalol,propanalol,treatment_cardiovascular,0.6003809,0.5346533,0.06572759,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Altermol,altermol,treatment_cardiovascular,0.52689,0.46262062,0.064269364,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Lovastatin,lovastatin,treatment_cardiovascular,0.6142986,0.55819726,0.056101322,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Atenelol,atenelol,treatment_cardiovascular,0.6732977,0.6178119,0.055485785,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Metoprolol,metoprolol,treatment_cardiovascular,0.669186,0.61425865,0.05492735,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
propanonal,propanonal,treatment_cardiovascular,0.5534969,0.49885127,0.054645628,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Isibloom,isibloom,treatment_cardiovascular,0.4931391,0.43923652,0.053902566,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
bisoprolol fumarate,bisoprolol fumarate,treatment_cardiovascular,0.5958693,0.54197013,0.05389917,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
adderrall,adderrall,treatment_cardiovascular,0.5344831,0.4817484,0.052734673,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Marinol,marinol,treatment_cardiovascular,0.5598399,0.50749475,0.052345157,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Lisinopril - Hydrochlorothiazide,lisinopril - hydrochlorothiazide,treatment_cardiovascular,0.5848613,0.5327597,0.052101552,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Disulfiram,disulfiram,treatment_cardiovascular,0.5033509,0.45225888,0.05109203,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
losartan amlodipine,losartan amlodipine,treatment_cardiovascular,0.5235269,0.4729342,0.05059272,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Amlodipine,amlodipine,treatment_cardiovascular,0.5578222,0.5072455,0.050576746,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Erythrocin,erythrocin,treatment_cardiovascular,0.50255334,0.45224726,0.05030608,0,1.0,"propranolol, amlodipine, hydrochlorothiazide"
Low-FODMAP diet,low-fodmap diet,treatment_diet_metabolic,0.7328782,0.2858009,0.4470773,-1,0.0,noise
keto diet,keto diet,treatment_diet_metabolic,0.5356448,0.17556845,0.36007637,-1,0.0,noise
foodmop diet,foodmop diet,treatment_diet_metabolic,0.6057348,0.24726674,0.3584681,-1,0.0,noise
Ketogenic Diet,ketogenic diet,treatment_diet_metabolic,0.54305845,0.20112374,0.3419347,-1,0.0,noise
